device_id,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,total_messages,max_frame_count
861275072307073,-7.891081081081082,1.9132687899949903,-31.0,-7.61,148.0,1.0,23.39,18.58783783783784,6.894668209204933,9.0,35.0,0.0,26.0,3.516621621621622,0.01857340846787052,3.48,3.55,0.0,12.094594594594595,2.6632746398592695,3.0,-60.82432432432432,0.9669097715625169,-64.0,-6.358108108108108,1.0754536150058032,-9.0,299,159
861275072308998,-1.3478523489932888,0.20303961721788547,-1.93,-0.98,149.0,0.0,0.95,31.389261744966444,5.899738209258394,18.0,44.0,0.0,26.0,3.479530201342282,0.040625773513963216,3.3,3.53,0.0,6.140939597315437,1.4238325432408583,2.0,-80.18120805369128,1.1685847947998524,-88.0,-6.597315436241611,1.218769112599954,-13.0,301,157
861275072309020,-6.175793103448276,0.04287690659054054,-6.32,-6.11,145.0,0.0,0.20999999999999996,22.082758620689656,6.455513845065428,12.0,39.0,0.0,27.0,3.0768275862068966,0.0652953061980282,2.98,3.56,0.0,4.372413793103449,2.7410075894393273,-2.0,-93.37241379310345,3.3971900716830437,-102.0,-7.103448275862069,1.3161609679239814,-12.0,302,147
861275072309152,-9.898148148148149,0.17780795684015235,-10.21,-9.64,27.0,0.0,0.5700000000000003,21.37037037037037,5.393358794695481,14.0,33.0,0.0,19.0,3.2488888888888887,0.10760802562767871,3.1,3.58,0.0,21.88888888888889,0.6405126152203481,20.0,-81.92592592592592,0.7299065233052338,-83.0,-1.4814814814814814,1.2206672314879639,-5.0,136,73
861275072309194,-3.966241610738255,3.8893726438657765,-31.0,-3.26,149.0,3.0,27.740000000000002,25.731543624161073,7.200441871278816,14.0,43.0,0.0,29.0,3.1975838926174496,0.09810123705525911,2.98,3.38,0.0,4.147651006711409,2.6133126924905272,-3.0,-92.63758389261746,2.2276358972124544,-98.0,-8.979865771812081,1.7221521680644731,-15.0,307,161
861275072309210,-5.112945205479452,0.06611554992867617,-5.26,-4.95,146.0,0.0,0.3099999999999996,20.21917808219178,5.807834364842658,11.0,37.0,0.0,26.0,3.489178082191781,0.046926308323246256,3.2,3.54,0.0,4.082191780821918,2.272798212488429,-3.0,-71.93150684931507,2.211747738457855,-79.0,-7.47945205479452,1.4631999796487234,-13.0,301,159
861275072309293,-5.829999999999999,0.05999999999999983,-5.89,-5.77,3.0,0.0,0.1200000000000001,16.333333333333332,1.5275252316519472,15.0,18.0,0.0,3.0,2.953333333333333,0.05686240703077309,2.89,3.0,0.0,17.333333333333332,1.5275252316519472,16.0,-97.0,1.0,-98.0,-4.333333333333333,2.0816659994661326,-6.0,32,27
861275072309962,-9.780921985815603,0.01534836935125882,-9.82,-9.75,141.0,0.0,0.07000000000000028,18.46808510638298,6.320661348183389,9.0,37.0,0.0,28.0,3.388581560283688,0.07166969433532948,3.13,3.47,0.0,3.8297872340425534,1.5581923905076247,-2.0,-73.47517730496453,1.216444234431343,-78.0,-8.092198581560284,1.3411120610462381,-14.0,288,90
861275072309988,-8.403432835820896,1.9726970514289357,-11.7,-6.82,201.0,0.0,4.879999999999999,20.00497512437811,2.1177759854097187,16.0,25.0,0.0,9.0,3.4983084577114427,0.031114697139927407,3.44,3.55,0.0,20.940298507462686,0.9572971902433242,17.0,-73.0049751243781,0.8972040594971132,-75.0,-1.791044776119403,1.5608072920719827,-11.0,414,215
861275072310010,-6.89935064935065,2.774006252101629,-31.0,-6.5,154.0,2.0,24.5,20.396103896103895,6.09555589873682,10.0,37.0,0.0,27.0,3.392987012987013,0.07025750833394209,3.2,3.54,0.0,16.357142857142858,3.090526472121424,-2.0,-72.83766233766234,2.7923115245159944,-92.0,-4.571428571428571,2.031957563684893,-11.0,317,151
861275072310028,-8.496423841059602,0.055849134530579346,-8.65,-8.36,151.0,0.0,0.2900000000000009,21.3841059602649,6.669193781512446,12.0,47.0,0.0,35.0,3.418278145695364,0.05978585774137517,3.08,3.57,0.0,21.874172185430464,2.5646432780189636,3.0,-65.65562913907284,4.7202349625357884,-106.0,-2.19205298013245,1.6920017012918143,-10.0,308,148
861275072310044,-31.0,0.0,-31.0,-31.0,147.0,147.0,0.0,24.85034013605442,4.451186914970904,17.0,36.0,0.0,19.0,3.500136054421769,0.014429155917452823,3.47,3.53,0.0,20.789115646258505,1.2119908478620882,17.0,-74.74149659863946,2.180512806891023,-81.0,-1.3197278911564625,1.1406943004562915,-8.0,303,159
861275072310069,1.5,0.0,1.5,1.5,5.0,0.0,0.0,21.6,6.9498201415576215,15.0,30.0,0.0,15.0,2.9859999999999998,0.08234075540095553,2.88,3.09,0.0,7.4,2.8809720581775866,3.0,-107.8,1.9235384061671343,-110.0,-7.4,1.140175425099138,-9.0,45,39
861275072310119,-10.129403973509934,1.7106970243297819,-31.0,-9.77,151.0,1.0,21.23,20.52980132450331,2.717371148787905,17.0,27.0,0.0,10.0,3.0633112582781457,0.030478885681832005,2.98,3.13,0.0,3.2317880794701987,4.374842791246747,-4.0,-108.8543046357616,11.636951119025065,-121.0,-9.66225165562914,1.986244084425151,-16.0,305,159
861275072310168,-9.164709677419355,3.080565243646089,-31.0,-8.58,155.0,3.0,22.42,21.81290322580645,6.659420723583307,12.0,44.0,0.0,32.0,3.346709677419355,0.09973412497716215,2.94,3.57,0.0,19.664516129032258,2.5310472637549744,9.0,-77.07741935483871,3.1879144423636587,-90.0,-2.2451612903225806,1.5176106283467614,-10.0,319,159
861275072310192,-11.270914634146342,8.394329726127642,-31.0,-7.5,164.0,25.0,23.5,17.5,5.98002810999405,8.0,34.0,0.0,26.0,3.247439024390244,0.11544856210578759,2.98,3.48,0.0,4.554878048780488,3.7140969206466465,-9.0,-80.83536585365853,4.089905932925176,-100.0,-8.359756097560975,2.3494868128391193,-19.0,352,181
