device_id,total_messages,max_frame_count,days_since_last_message,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_range,optical_below_threshold,temp_mean,temp_std,temp_min,temp_max,temp_range,temp_above_threshold,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min
861275072307073,299,159,0,-7.891081081081082,1.9132687899949905,-31.0,-7.61,148.0,23.39,1.0,18.58783783783784,6.894668209204933,9.0,35.0,26.0,0.0,3.516621621621622,0.0185734084678705,3.48,3.55,0.0,12.094594594594597,2.663274639859269,3.0,-60.82432432432432,0.9669097715625168,-64.0,-6.358108108108108,1.0754536150058032,-9.0
861275072308998,301,157,0,-1.3478523489932888,0.2030396172178854,-1.93,-0.98,149.0,0.95,0.0,31.389261744966444,5.899738209258394,18.0,44.0,26.0,0.0,3.479530201342282,0.0406257735139632,3.3,3.53,0.0,6.140939597315437,1.4238325432408585,2.0,-80.18120805369128,1.1685847947998524,-88.0,-6.597315436241611,1.218769112599954,-13.0
861275072309020,302,147,0,-6.175793103448276,0.0428769065905405,-6.32,-6.11,145.0,0.2099999999999999,0.0,22.082758620689656,6.455513845065428,12.0,39.0,27.0,0.0,3.076827586206897,0.0652953061980282,2.98,3.56,0.0,4.372413793103449,2.741007589439328,-2.0,-93.37241379310343,3.397190071683044,-102.0,-7.103448275862069,1.3161609679239814,-12.0
861275072309152,136,73,0,-9.898148148148149,0.1778079568401523,-10.21,-9.64,27.0,0.5700000000000003,0.0,21.37037037037037,5.393358794695481,14.0,33.0,19.0,0.0,3.2488888888888887,0.1076080256276787,3.1,3.58,0.0,21.88888888888889,0.6405126152203481,20.0,-81.92592592592592,0.7299065233052338,-83.0,-1.4814814814814814,1.220667231487964,-5.0
861275072309194,307,161,0,-3.966241610738255,3.889372643865777,-31.0,-3.26,149.0,27.74,3.0,25.73154362416108,7.200441871278816,14.0,43.0,29.0,0.0,3.1975838926174496,0.0981012370552591,2.98,3.38,0.0,4.147651006711409,2.6133126924905272,-3.0,-92.63758389261746,2.2276358972124544,-98.0,-8.979865771812081,1.7221521680644731,-15.0
861275072309210,301,159,0,-5.112945205479452,0.0661155499286761,-5.26,-4.95,146.0,0.3099999999999996,0.0,20.21917808219178,5.807834364842658,11.0,37.0,26.0,0.0,3.489178082191781,0.0469263083232462,3.2,3.54,0.0,4.082191780821918,2.272798212488429,-3.0,-71.93150684931507,2.211747738457855,-79.0,-7.47945205479452,1.4631999796487234,-13.0
861275072309293,32,27,0,-5.829999999999999,0.0599999999999998,-5.89,-5.77,3.0,0.1200000000000001,0.0,16.333333333333332,1.5275252316519472,15.0,18.0,3.0,0.0,2.953333333333333,0.056862407030773,2.89,3.0,0.0,17.333333333333332,1.5275252316519472,16.0,-97.0,1.0,-98.0,-4.333333333333333,2.0816659994661326,-6.0
861275072309962,288,90,0,-9.780921985815604,0.0153483693512588,-9.82,-9.75,141.0,0.0700000000000002,0.0,18.46808510638298,6.320661348183389,9.0,37.0,28.0,0.0,3.388581560283688,0.0716696943353294,3.13,3.47,0.0,3.8297872340425534,1.5581923905076247,-2.0,-73.47517730496453,1.216444234431343,-78.0,-8.092198581560284,1.341112061046238,-14.0
861275072309988,414,215,0,-8.403432835820896,1.972697051428936,-11.7,-6.82,201.0,4.879999999999999,0.0,20.00497512437811,2.1177759854097187,16.0,25.0,9.0,0.0,3.4983084577114427,0.0311146971399274,3.44,3.55,0.0,20.94029850746269,0.9572971902433242,17.0,-73.0049751243781,0.8972040594971132,-75.0,-1.791044776119403,1.5608072920719829,-11.0
861275072310010,317,151,0,-6.89935064935065,2.774006252101629,-31.0,-6.5,154.0,24.5,2.0,20.39610389610389,6.09555589873682,10.0,37.0,27.0,0.0,3.392987012987013,0.070257508333942,3.2,3.54,0.0,16.357142857142858,3.090526472121424,-2.0,-72.83766233766234,2.7923115245159944,-92.0,-4.571428571428571,2.031957563684893,-11.0
861275072310028,308,148,0,-8.496423841059602,0.0558491345305793,-8.65,-8.36,151.0,0.2900000000000009,0.0,21.3841059602649,6.669193781512446,12.0,47.0,35.0,0.0,3.418278145695364,0.0597858577413751,3.08,3.57,0.0,21.874172185430464,2.564643278018964,3.0,-65.65562913907284,4.7202349625357884,-106.0,-2.19205298013245,1.6920017012918145,-10.0
861275072310044,303,159,0,-31.0,0.0,-31.0,-31.0,147.0,0.0,147.0,24.85034013605442,4.451186914970904,17.0,36.0,19.0,0.0,3.500136054421769,0.0144291559174528,3.47,3.53,0.0,20.789115646258505,1.2119908478620882,17.0,-74.74149659863946,2.180512806891023,-81.0,-1.3197278911564625,1.1406943004562915,-8.0
861275072310069,45,39,0,1.5,0.0,1.5,1.5,5.0,0.0,0.0,21.6,6.9498201415576215,15.0,30.0,15.0,0.0,2.986,0.0823407554009555,2.88,3.09,0.0,7.4,2.8809720581775866,3.0,-107.8,1.9235384061671343,-110.0,-7.4,1.140175425099138,-9.0
861275072310119,305,159,0,-10.129403973509934,1.710697024329782,-31.0,-9.77,151.0,21.23,1.0,20.52980132450331,2.717371148787905,17.0,27.0,10.0,0.0,3.0633112582781457,0.030478885681832,2.98,3.13,0.0,3.2317880794701987,4.374842791246747,-4.0,-108.8543046357616,11.636951119025063,-121.0,-9.66225165562914,1.986244084425151,-16.0
861275072310168,319,159,0,-9.164709677419356,3.080565243646089,-31.0,-8.58,155.0,22.42,3.0,21.81290322580645,6.659420723583307,12.0,44.0,32.0,0.0,3.346709677419355,0.0997341249771621,2.94,3.57,0.0,19.664516129032258,2.5310472637549744,9.0,-77.07741935483871,3.1879144423636587,-90.0,-2.2451612903225806,1.5176106283467614,-10.0
861275072310192,352,181,0,-11.270914634146342,8.394329726127642,-31.0,-7.5,164.0,23.5,25.0,17.5,5.98002810999405,8.0,34.0,26.0,0.0,3.247439024390244,0.1154485621057875,2.98,3.48,0.0,4.554878048780488,3.714096920646647,-9.0,-80.83536585365853,4.089905932925176,-100.0,-8.359756097560975,2.34948681283912,-19.0
861275072310218,347,183,0,-13.64627906976744,5.753518129721417,-31.0,-9.74,172.0,21.26,16.0,28.11046511627907,5.230869440546107,16.0,39.0,23.0,0.0,3.4515116279069766,0.0635410709719186,3.22,3.53,0.0,7.22093023255814,3.0044846121386146,-3.0,-75.18604651162791,3.077979241052535,-86.0,-7.226744186046512,1.3248788463736374,-12.0
861275072310226,288,159,0,0.9739007092198582,0.020205128402936,0.94,1.01,141.0,0.07,0.0,26.86524822695036,7.389393806720576,15.0,45.0,30.0,0.0,3.463900709219858,0.0843104217388285,3.08,3.51,0.0,20.93617021276596,5.146722627011495,-3.0,-76.24113475177305,4.350534793431158,-97.0,-2.0,2.339108499285267,-11.0
861275072310242,306,162,0,-15.060884353741494,1.3551969604462784,-31.0,-14.55,147.0,16.45,1.0,19.38095238095238,5.170163789214605,11.0,33.0,22.0,0.0,3.1472789115646256,0.0824002744968932,2.96,3.37,0.0,-2.4489795918367347,3.103651568914348,-10.0,-90.51020408163264,1.7570497803614311,-97.0,-10.693877551020408,1.722582661586794,-20.0
861275072310259,146,48,0,-15.843454545454543,0.0256917757281849,-15.89,-15.78,55.0,0.1100000000000012,0.0,19.09090909090909,5.157779910261159,13.0,35.0,22.0,0.0,3.395636363636364,0.0405866077330037,3.3,3.53,0.0,21.145454545454545,1.819830901975377,10.0,-65.8,1.043498389499903,-69.0,-2.036363636363636,1.31886084913987,-6.0
861275072310267,309,170,0,-9.979733333333334,0.0365811897727519,-10.05,-9.83,150.0,0.2200000000000006,0.0,23.75333333333333,6.875632165363275,13.0,43.0,30.0,0.0,3.1575333333333333,0.1025051098197049,2.94,3.57,0.0,12.613333333333332,1.7600589780640823,6.0,-87.43333333333334,1.4350205978769437,-92.0,-5.44,1.3183271889713903,-9.0
861275072310283,314,165,0,-8.016291390728478,4.445478994198343,-31.0,-6.14,151.0,24.86,5.0,25.655629139072847,8.864194911828067,10.0,48.0,38.0,0.0,3.356423841059603,0.1584775246772058,3.15,3.56,0.0,2.9403973509933774,5.545246358313843,-7.0,-95.01986754966887,8.755546964582326,-112.0,-9.754966887417218,3.549585679892266,-18.0
861275072310291,294,160,0,-15.00851063829787,1.3017652499423429,-15.69,-12.2,141.0,3.49,0.0,25.54609929078014,1.6796052993187136,22.0,32.0,10.0,0.0,3.069787234042553,0.045441769412016,2.99,3.2,0.0,12.439716312056738,1.2327019934520216,8.0,-98.20567375886525,2.218486390365088,-107.0,-5.319148936170213,0.6581266588493021,-8.0
861275072310366,145,33,0,-11.17561403508772,3.815353858118097,-31.0,-10.24,57.0,20.76,2.0,20.28070175438597,5.86988192253142,11.0,33.0,22.0,0.0,3.242105263157895,0.1412411418474655,3.0,3.55,0.0,9.350877192982455,4.886173013391153,1.0,-84.28070175438596,0.8814433367436161,-87.0,-6.614035087719298,1.9063276772455933,-11.0
