device_id,total_messages,max_frame_count,msg6_count,msg6_rate,is_critical,severity_category,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,is_critical_target
100000000000001,2,99.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
400000000000004,2,99.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
600000000000006,2,99.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072307073,1190,304.0,108.0,0.0907563025210084,0,unstable,-7.764077669902913,1.0268875918285163,-31.0,-7.61,515,1,23.39,16.027184466019417,7.091072292656478,-1.0,35.0,0,36.0,3.4752233009708737,0.0573379855958964,3.11,3.57,0,12.14757281553398,2.735693051286071,2.0,-61.44466019417476,3.14289168181262,-101.0,-6.345631067961165,1.136995212237757,-12.0,0
861275072308998,1125,378.0,6.0,0.0053333333333333,0,healthy,-1.1723048327137546,0.1821705567474856,-1.8,-0.8,538,0,1.0,28.95724907063197,7.840355036119896,13.0,45.0,0,32.0,3.470260223048327,0.0686252822549276,2.69,3.6,0,4.864312267657993,1.993982939219301,-6.0,-80.34386617100371,1.567467657493839,-91.0,-7.191449814126394,1.541046507191692,-15.0,0
861275072309020,198,68.0,0.0,0.0,0,,-6.178192771084337,0.0453749844671951,-6.33,-6.12,83,0,0.2099999999999999,22.44578313253012,7.654510884388642,13.0,39.0,0,26.0,3.035903614457831,0.12367380526501,2.83,3.56,0,5.036144578313253,2.01485812084496,1.0,-92.48192771084338,1.564557490491168,-96.0,-6.63855421686747,0.8776119656594178,-9.0,0
861275072309095,13,2.0,0.0,0.0,0,,-31.0,0.0,-31.0,-31.0,3,1,0.0,26.33333333333333,2.081665999466132,24.0,28.0,0,4.0,3.206666666666667,0.151437555888007,3.1,3.38,0,6.666666666666667,2.0816659994661326,5.0,-91.66666666666669,6.429100507328638,-99.0,-9.666666666666666,2.0816659994661326,-12.0,0
861275072309111,49,34.0,12.0,0.2448979591836734,0,unstable,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309152,16,5.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309178,14,4.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309194,1068,359.0,15.0,0.0140449438202247,0,healthy,-3.422755905511811,2.128450159696534,-31.0,-3.14,508,1,27.86,23.22244094488189,6.020979785743513,11.0,40.0,0,29.0,3.1327559055118117,0.1087579304713054,2.89,3.59,0,4.09251968503937,2.952834887925736,-3.0,-93.4724409448819,2.155042787197414,-99.0,-9.423228346456693,1.3688604407809195,-15.0,0
861275072309293,14,3.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309418,799,335.0,54.0,0.0675844806007509,0,unstable,-7.74484240687679,7.399621052026843,-31.0,-5.22,349,1,25.78,17.664756446991404,6.6884220825901295,0.0,35.0,0,35.0,3.0286246418338107,0.0856338742876783,2.81,3.51,0,-1.5759312320916905,2.866391571110888,-9.0,-93.48710601719198,2.6766293657726656,-105.0,-12.449856733524356,2.440305999300157,-29.0,0
