device_id,total_messages,max_frame_count,msg6_count,msg6_rate,is_critical,severity_category,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,is_critical_target
100000000000001,2,99.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
123456789098765,44,13.0,0.0,0.0,False,,-13.710909090909091,14.210221642683802,-31.0,1.5,22,1,32.5,21.772727272727273,4.587060664644141,14.0,30.0,0,16.0,3.353181818181818,0.18765181444154347,2.98,3.6,0,0.0,0.0,0.0,,,,,,,0
400000000000004,2,99.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
600000000000006,2,99.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072302116,51,38.0,9.0,0.17647058823529413,False,unstable,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072307073,1190,304.0,108.0,0.0907563025210084,False,unstable,-7.764077669902913,1.0268875918285163,-31.0,-7.61,515,1,23.39,16.027184466019417,7.091072292656478,-1.0,35.0,0,36.0,3.4752233009708737,0.05733798559589643,3.11,3.57,0,12.14757281553398,2.735693051286071,2.0,-61.44466019417476,3.14289168181262,-101.0,-6.345631067961165,1.1369952122377567,-12.0,0
861275072308998,1125,378.0,6.0,0.005333333333333333,False,healthy,-1.1723048327137546,0.18217055674748567,-1.8,-0.8,538,0,1.0,28.95724907063197,7.840355036119896,13.0,45.0,0,32.0,3.470260223048327,0.0686252822549276,2.69,3.6,0,4.864312267657993,1.993982939219301,-6.0,-80.34386617100371,1.5674676574938393,-91.0,-7.191449814126394,1.541046507191692,-15.0,0
861275072309020,198,68.0,0.0,0.0,False,,-6.178192771084337,0.045374984467195165,-6.33,-6.12,83,0,0.20999999999999996,22.44578313253012,7.6545108843886425,13.0,39.0,0,26.0,3.035903614457831,0.12367380526501,2.83,3.56,0,5.036144578313253,2.0148581208449596,1.0,-92.48192771084338,1.5645574904911679,-96.0,-6.63855421686747,0.8776119656594178,-9.0,0
861275072309095,13,2.0,0.0,0.0,False,,-31.0,0.0,-31.0,-31.0,3,1,0.0,26.333333333333332,2.081665999466132,24.0,28.0,0,4.0,3.206666666666667,0.151437555888007,3.1,3.38,0,6.666666666666667,2.0816659994661326,5.0,-91.66666666666667,6.429100507328638,-99.0,-9.666666666666666,2.0816659994661326,-12.0,0
861275072309111,49,34.0,12.0,0.24489795918367346,False,unstable,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
