device_id,total_messages,max_frame_count,msg6_count,msg6_rate,is_critical,severity_category,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,rssi_mean,rssi_std,rssi_min,is_critical_target
100000000000001,2,99.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
123456789098765,28,13.0,0.0,0.0,False,,-13.448571428571428,13.805259787566397,-31.0,1.5,14,1,32.5,21.714285714285715,5.135525910130955,14.0,30.0,0,16.0,3.36,0.1801708590797592,2.98,3.6,0,0.0,0.0,0.0,,,,,,,-64.57142857142857,15.633860125304384,-105.0,0
400000000000004,2,99.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
600000000000006,2,99.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072307073,612,304.0,12.0,0.0196078431372549,False,healthy,-7.718772563176895,0.042765906078957014,-7.82,-7.62,277,0,0.20000000000000018,14.711191335740072,6.692223289840534,-1.0,32.0,0,33.0,3.449241877256318,0.04689414514240619,3.27,3.55,0,12.71841155234657,2.6607970508764867,2.0,-60.96028880866426,1.070965934205846,-64.0,-6.003610108303249,1.0615076608769018,-10.0,-54.95667870036101,1.4288438424483767,-58.0,0
861275072308998,436,230.0,6.0,0.013761467889908258,False,healthy,-1.1073333333333333,0.14429375345185036,-1.39,-0.8,195,0,0.5899999999999999,26.328205128205127,7.59577842321725,13.0,40.0,0,27.0,3.442769230769231,0.09747070972635773,2.69,3.58,0,3.58974358974359,2.264904229990373,-6.0,-81.04102564102564,2.0555078070150947,-91.0,-8.092307692307692,1.7414569998013203,-15.0,-72.94871794871794,1.5523297746662492,-78.0,0
861275072309020,14,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072309095,13,2.0,0.0,0.0,False,,-31.0,0.0,-31.0,-31.0,3,1,0.0,26.333333333333332,2.081665999466132,24.0,28.0,0,4.0,3.206666666666667,0.151437555888007,3.1,3.38,0,6.666666666666667,2.0816659994661326,5.0,-91.66666666666667,6.429100507328638,-99.0,-9.666666666666666,2.0816659994661326,-12.0,-82.0,4.58257569495584,-87.0,0
861275072309145,488,170.0,84.0,0.1721311475409836,False,unstable,-5.538918918918919,1.8826839418531902,-31.0,-5.27,185,1,25.73,14.654054054054054,4.27191247484244,3.0,25.0,0,22.0,3.439837837837838,0.031562148416908374,3.32,3.53,0,11.151351351351352,3.1448389069841576,1.0,-68.29729729729729,1.3686089586825438,-71.0,-7.032432432432432,1.2807211907779297,-11.0,-61.26486486486486,1.4257370741007402,-65.0,0
861275072309152,16,5.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072309178,14,4.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072309194,373,130.0,9.0,0.024128686327077747,False,healthy,-3.283939393939394,0.0343705945238535,-3.37,-3.21,165,0,0.16000000000000014,21.284848484848485,5.316571034827484,13.0,34.0,0,21.0,3.1194545454545457,0.14067457059301772,2.89,3.54,0,4.866666666666666,1.9863354337282904,-3.0,-91.8,1.415075624972124,-97.0,-8.951515151515151,1.022944462443901,-13.0,-82.84848484848484,0.8308536647743856,-85.0,0
861275072309210,631,271.0,6.0,0.009508716323296355,False,healthy,-5.1499999999999995,0.04013722167233195,-5.24,-5.05,292,0,0.1900000000000004,16.96232876712329,5.309197626565855,1.0,32.0,0,31.0,3.370376712328767,0.16874571204066033,2.68,3.53,0,2.3493150684931505,2.4900971309763316,-11.0,-73.07876712328768,1.9750926344488868,-81.0,-8.565068493150685,1.5965638560656812,-16.0,-64.51369863013699,0.9755520165746104,-68.0,0
861275072309277,75,31.0,12.0,0.16,False,unstable,-7.0600000000000005,0.09665845613735587,-7.21,-6.91,15,0,0.2999999999999998,17.933333333333334,3.9725246860091854,14.0,26.0,0,12.0,2.958666666666667,0.04103424818136089,2.89,3.04,0,2.533333333333333,2.133630931623591,-2.0,-107.66666666666667,1.9518001458970655,-111.0,-9.2,1.6987390281365429,-13.0,-98.46666666666667,0.7432233529572078,-99.0,0
861275072309293,14,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072309418,767,335.0,42.0,0.054758800521512385,False,unstable,-7.814867256637167,7.496839150311332,-31.0,-5.22,339,1,25.78,17.625368731563423,6.682446720204247,0.0,35.0,0,35.0,3.0265486725663715,0.08569006258111714,2.81,3.51,0,-1.5693215339233038,2.8746602289336773,-9.0,-93.50442477876106,2.6695429671291526,-105.0,-12.442477876106194,2.435941623570647,-29.0,-81.06194690265487,1.8410981375803745,-89.0,0
861275072309962,754,342.0,9.0,0.011936339522546418,False,healthy,-9.818831908831909,0.027506938481621376,-9.88,-9.77,351,0,0.11000000000000121,15.27065527065527,5.3801985489883535,0.0,28.0,0,28.0,3.247948717948718,0.20675950886354547,2.77,3.51,0,2.455840455840456,2.144138539677433,-6.0,-75.65527065527066,1.858792041920726,-82.0,-9.743589743589743,1.6944641604969946,-15.0,-65.91168091168092,0.9231345796672525,-68.0,0
861275072309988,1148,317.0,9.0,0.0078397212543554,False,healthy,-7.26841620626151,0.20309522759333917,-7.46,-6.65,543,0,0.8099999999999996,16.357274401473298,1.6750220388009718,10.0,22.0,0,12.0,3.4291160220994477,0.037602889369623665,2.88,3.51,0,21.5451197053407,0.704027118129102,18.0,-70.3609576427256,1.3358885968601788,-75.0,-2.0939226519337018,1.7406629906856672,-11.0,-68.2670349907919,2.228745417751821,-73.0,0
861275072310010,13,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310028,13,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310044,810,706.0,3.0,0.003703703703703704,False,healthy,-20.101472392638037,10.791955407727613,-31.0,-9.12,163,1,21.880000000000003,24.20245398773006,6.078863917983658,16.0,39.0,0,23.0,3.4763803680981593,0.06641454256457058,3.0,3.57,0,20.20245398773006,2.5243493458282225,2.0,-74.84662576687117,3.9261434948051877,-108.0,-1.6257668711656441,1.6632776268061735,-12.0,-73.22085889570552,3.13684700524071,-96.0,0
861275072310069,13,4.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310085,384,220.0,30.0,0.078125,False,unstable,-8.56932098765432,0.030869924321091882,-8.63,-8.49,162,0,0.14000000000000057,25.72222222222222,0.44929205872936095,25.0,26.0,0,1.0,3.12141975308642,0.055692894424510336,2.97,3.54,0,0.9320987654320988,2.9237229376724043,-15.0,-113.0925925925926,3.191225461290626,-133.0,-10.493827160493828,2.798062580780816,-26.0,-102.59876543209876,1.1660831956469975,-107.0,0
861275072310101,955,287.0,3.0,0.0031413612565445027,False,healthy,-13.504383259911894,0.11664342858547554,-13.78,-13.02,454,0,0.7599999999999998,16.720264317180618,4.043765421247795,1.0,27.0,0,26.0,3.4930396475770924,0.0362845416261998,2.95,3.55,0,20.083700440528634,0.7817162632611981,17.0,-51.308370044052865,0.9192906779815845,-56.0,-1.4845814977973568,1.2119639713029355,-10.0,-49.82378854625551,1.4782477871825213,-52.0,0
861275072310119,527,179.0,21.0,0.03984819734345351,False,healthy,-10.012606837606837,0.05758031632930686,-10.17,-9.88,234,0,0.28999999999999915,18.55128205128205,2.947236004467307,13.0,29.0,0,16.0,3.0682478632478634,0.06022068228452602,2.9,3.52,0,4.380341880341881,3.942260071949956,-4.0,-109.23504273504274,11.235304689121405,-123.0,-9.316239316239317,1.9725566628047724,-17.0,-99.91880341880342,10.158287439931161,-109.0,0
861275072310168,16,4.0,3.0,0.1875,False,unstable,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310192,560,209.0,3.0,0.005357142857142857,False,healthy,-7.080756972111554,0.03937289297467492,-7.2,-7.0,251,0,0.20000000000000018,14.175298804780876,5.393435585075487,-1.0,30.0,0,31.0,3.223266932270916,0.15559847191457704,2.79,3.5,0,2.6095617529880477,2.8140625805357127,-5.0,-80.24302788844622,1.2840175992637877,-84.0,-10.091633466135459,1.3665905462557315,-14.0,-70.15139442231076,1.0435459011508632,-74.0,0
861275072310218,757,156.0,102.0,0.13474240422721268,False,unstable,-12.703506493506493,7.5574017502671715,-31.0,-6.73,308,1,24.27,24.350649350649352,5.544645528752128,14.0,37.0,0,23.0,3.4500649350649355,0.09260962693463905,2.91,3.58,0,11.24025974025974,3.268754845274293,-2.0,-73.87337662337663,2.676999200154494,-83.0,-6.2564935064935066,1.5865240856113085,-13.0,-67.61688311688312,2.002272493790058,-77.0,0
